iter	Passed	Remaining
925	2600	207
926	2603	205
927	2606	202
928	2608	199
929	2611	196
930	2613	193
931	2616	190
932	2619	188
933	2622	185
934	2624	182
935	2627	179
936	2630	176
937	2632	174
938	2635	171
939	2638	168
940	2640	165
941	2644	162
942	2646	159
943	2649	157
944	2651	154
945	2654	151
946	2657	148
947	2660	145
948	2662	143
949	2665	140
950	2667	137
951	2670	134
952	2673	131
953	2675	129
954	2678	126
955	2681	123
956	2683	120
957	2686	117
958	2689	114
959	2691	112
960	2694	109
961	2697	106
962	2699	103
963	2702	100
964	2705	98
965	2708	95
966	2710	92
967	2713	89
968	2716	86
969	2719	84
970	2722	81
971	2724	78
972	2727	75
973	2730	72
974	2732	70
975	2735	67
976	2738	64
977	2740	61
978	2743	58
979	2746	56
980	2749	53
981	2751	50
982	2754	47
983	2757	44
984	2759	42
985	2762	39
986	2765	36
987	2767	33
988	2770	30
989	2773	28
990	2775	25
991	2778	22
992	2780	19
993	2783	16
994	2786	14
995	2789	11
996	2791	8
997	2794	5
998	2797	2
999	2800	0
